Line,Direction,StationFrom,StationTo,Distance,UnimpededRunningTime,AMPeakRunningTime,InterPeakRunningTime
Bakerloo ,Southbound,Harrow & Wealdstone,Kenton,1.74,2.23,2.5,2.5
Bakerloo ,Southbound,Kenton,South Kenton,1.4,1.88,2,2
Bakerloo ,Southbound,South Kenton,North Wembley,0.9,1.5,1.5,1.5
Bakerloo ,Southbound,North Wembley,Wembley Central,1.27,1.92,2.06,2.06
Bakerloo ,Southbound,Wembley Central,Stonebridge Park,1.71,2.23,3.13,3.13
Bakerloo ,Southbound,Stonebridge Park,Harlesden,1.53,2.13,2.4,2.4
Bakerloo ,Southbound,Harlesden,Willesden Junction,1.05,1.65,2.23,2.23
Bakerloo ,Southbound,Willesden Junction,Kensal Green,1.5,2.47,2.5,2.5
Bakerloo ,Southbound,Kensal Green,Queens Park,1.32,2.65,4.72,4.72
Bakerloo ,Southbound,Queens Park,Kilburn Park,0.79,1.42,1.5,1.5
Bakerloo ,Southbound,Kilburn Park,Maida Vale,0.88,1.48,2,2
Bakerloo ,Southbound,Maida Vale,Warwick Avenue,0.79,1.5,1.5,1.5
Bakerloo ,Southbound,Warwick Avenue,Paddington,0.88,1.58,2,2
Bakerloo ,Southbound,Paddington,Edgware Road,0.72,1.57,1.5,1.5
Bakerloo ,Southbound,Edgware Road,Marylebone,0.45,1.12,1.5,1.5
Bakerloo ,Southbound,Marylebone,Baker Street,0.5,1.17,1.5,1.5
Bakerloo ,Southbound,Baker Street,Regent's Park,0.88,1.68,2,2
Bakerloo ,Southbound,Regent's Park,Oxford Circus,0.87,1.85,2,2
Bakerloo ,Southbound,Oxford Circus,Piccadilly Circus,0.97,1.95,2.48,2.48
Bakerloo ,Southbound,Piccadilly Circus,Charing Cross,0.55,1.35,1.5,1.5
Bakerloo ,Southbound,Charing Cross,Embankment,0.37,0.95,1.5,1.5
Bakerloo ,Southbound,Embankment,Waterloo,0.71,1.43,1.5,1.5
Bakerloo ,Southbound,Waterloo,Lambeth North,0.63,1.45,2,2
Bakerloo ,Southbound,Lambeth North,Elephant & Castle,0.82,2.57,2.5,2.5
Bakerloo ,Northbound,Elephant & Castle,Lambeth North,0.82,2.13,2,2
Bakerloo ,Northbound,Lambeth North,Waterloo,0.63,1.45,2.06,2.06
Bakerloo ,Northbound,Waterloo,Embankment,0.71,1.22,1.5,1.5
Bakerloo ,Northbound,Embankment,Charing Cross,0.37,0.97,1,1
Bakerloo ,Northbound,Charing Cross,Piccadilly Circus,0.55,1.6,2,2
Bakerloo ,Northbound,Piccadilly Circus,Oxford Circus,0.97,2.02,2.19,2.19
Bakerloo ,Northbound,Oxford Circus,Regent's Park,0.87,1.72,2,2
Bakerloo ,Northbound,Regent's Park,Baker Street,0.88,1.65,2,2
Bakerloo ,Northbound,Baker Street,Marylebone,0.5,1.08,1.5,1.5
Bakerloo ,Northbound,Marylebone,Edgware Road,0.45,1.08,1,1
Bakerloo ,Northbound,Edgware Road,Paddington,0.72,1.62,2,2
Bakerloo ,Northbound,Paddington,Warwick Avenue,0.88,1.63,2,2
Bakerloo ,Northbound,Warwick Avenue,Maida Vale,0.79,1.5,1.5,1.5
Bakerloo ,Northbound,Maida Vale,Kilburn Park,0.88,1.48,1.5,1.5
Bakerloo ,Northbound,Kilburn Park,Queens Park,0.79,2.1,2.89,2.89
Bakerloo ,Northbound,Queens Park,Kensal Green,1.32,2.83,2.72,2.72
Bakerloo ,Northbound,Kensal Green,Willesden Junction,1.5,2.53,3.15,3.15
Bakerloo ,Northbound,Willesden Junction,Harlesden,1.05,1.63,2,2
Bakerloo ,Northbound,Harlesden,Stonebridge Park,1.53,2.02,2.53,2.53
Bakerloo ,Northbound,Stonebridge Park,Wembley Central,1.71,2.42,3.17,3.17
Bakerloo ,Northbound,Wembley Central,North Wembley,1.27,1.95,2,2
Bakerloo ,Northbound,North Wembley,South Kenton,0.9,1.58,1.5,1.5
Bakerloo ,Northbound,South Kenton,Kenton,1.4,2,2,2
Bakerloo ,Northbound,Kenton,Harrow & Wealdstone,1.74,2.38,3,3
Central ,Eastbound,West Ruislip,Ruislip Gardens,2.04,2.28,2.57,2.5
Central ,Eastbound,Ruislip Gardens,South Ruislip,0.86,1.3,1.5,1.5
Central ,Eastbound,South Ruislip,Northolt,2.28,2.23,2.58,2.5
Central ,Eastbound,Northolt,Greenford,1.78,1.93,2,2
Central ,Eastbound,Greenford,Perivale,1.69,1.85,2.33,2.25
Central ,Eastbound,Perivale,Hanger Lane,2.1,2.1,2.25,2.26
Central ,Eastbound,Hanger Lane,North Acton,2.49,2.85,3.44,3.48
Central ,Eastbound,Ealing Broadway,West Acton,1.53,2.28,2.25,2.25
